"EXC_ID";"BEH_TYP";"M";"Y";"VEG_TYP";"DS_pct";"VOCHT_pct";"LIG_pct";"CEL_pct";"HEMCEL_pct";"N_DS_pct";"RE_NIR_DS_pct";"RE_NATCHEM_DS_pct"
"LV1";"EXC";"6";2013;"S";82,321;17,679;19,88;63,41;48,38;2,188;11,333681563635;13,69
"GB2";"BGR";"8";2011;"P";81,932;18,068;12,83;59,74;58,18;4,079;27,1932822340477;25,5
"GB2";"BGR";"8";2011;"S";81,908;18,092;20,46;63,81;53,32;2,76;16,8359622991649;17,25
"GB2";"EXC";"6";2011;"P";81,757;18,243;13,47;61,61;58,35;3,45;23,9245569186736;21,56
"GB2";"BGR";"6";2011;"P";81,574;18,426;14,12;61,06;59,34;4,434;29,4579155122956;27,69
"LV2";"EXC";"6";2011;"P";80,927;19,073;13,76;46,13;53,55;7,583;52,4176109333103;47,38
"GB1";"BGR";"9";2011;"A";100;0;NA;NA;NA;1,816;NA;11,38
"GB1";"BGR";"9";2011;"S";100;0;NA;NA;NA;1,426;NA;8,94
"GB1";"BGR";"6";2013;"S";100;0;NA;NA;NA;1,222;NA;7,63
"GB1";"EXC";"6";2011;"A";100;0;NA;NA;NA;3,578;NA;22,38
"GB1";"EXC";"9";2011;"S";100;0;6,8;33,76;28,69;1,608;9,86;10,06
"GB2";"BGR";"6";2013;"A";100;0;NA;NA;NA;2,133;NA;13,31
"LV2";"BGR";"6";2013;"F";100;0;NA;NA;NA;1,64;NA;10,25
"WD2";"BGR";"6";2013;"H";100;0;NA;NA;NA;1,451;NA;9,06
"GB1";"EXC";"8";2011;"S";94,138;5,862;NA;NA;NA;NA;NA;NA
"WD2";"EXC";"7";2013;"F";92,816;7,184;NA;NA;NA;NA;NA;NA
"LV2";"BGR";"8";2013;"A";92,596;7,404;NA;NA;NA;NA;NA;NA
"LV1";"BGR";"8";2013;"H";92,141;7,859;16,35;20,13;15,41;NA;9,48546249769375;NA
"GB2";"EXC";"8";2013;"F";92,099;7,901;5,06;37,63;28,51;NA;9,20748325171826;NA
"GB2";"BGR";"8";2013;"S";91,88;8,12;9,82;34,39;26,28;NA;5,14801915542011;NA
"WD2";"EXC";"7";2013;"P";91,851;8,149;7,44;41,52;27,75;0,75;4,32221750443653;4,69
"WD1";"BGR";"7";2013;"P";91,782;8,218;6,77;36,02;29,24;0,906;5,58933124141989;5,69
"WD2";"EXC";"8";2013;"S";91,762;8,238;9,24;33,78;26,58;1,08;4,80591094352782;6,75
"WD1";"EXC";"8";2013;"S";91,754;8,246;8,15;38,43;28,03;0,694;3,85814242430848;4,31
"WD2";"EXC";"8";2013;"P";91,75;8,25;6,22;39,74;29,33;0,673;3,50953678474115;4,19
"WD1";"EXC";"7";2013;"P";91,702;8,298;7,14;41,41;29,04;0,62;3,63132756101285;3,88
"LV2";"BGR";"6";2013;"S";91,683;8,317;9,26;38,28;26,4;0,66;3,28305138357165;4,13
"WD2";"EXC";"7";2013;"S";91,68;8,32;9,7;38,35;26,09;0,616;3,53403141361257;3,88
"LV1";"BGR";"7";2013;"P";91,647;8,353;6,95;34,32;29,04;0,611;10,747760428601;3,81
"LV1";"BGR";"8";2013;"S";91,614;8,386;6,44;36,97;27,81;0,865;4,94465911323597;5,38
"LV2";"EXC";"8";2013;"P";91,599;8,401;6,39;37,01;28,95;0,873;4,92363453749495;5,44
"LV1";"BGR";"8";2013;"P";91,543;8,457;6,62;34,52;28,17;1,07;6,53244923150869;6,69
"LV2";"BGR";"7";2013;"S";91,543;8,457;8,62;36,58;28,13;0,605;3,46285352238839;3,75
"LV2";"EXC";"8";2013;"S";91,523;8,477;9,01;35,64;26,12;0,825;3,79139669809775;5,13
"LV1";"EXC";"8";2013;"P";91,52;8,48;6,74;35,98;28,61;0,912;5,8784965034965;5,69
"LV1";"BGR";"6";2013;"S";91,514;8,486;10,1;35,17;25,71;0,63;4,60038901151736;3,94
"LV2";"BGR";"7";2013;"P";91,509;8,491;9,96;31,16;27,92;0,868;6,3053907265952;5,44
"WD1";"BGR";"8";2013;"P";91,508;8,492;5,34;36,34;29,42;1,071;6,13061153123224;6,69
"LV1";"EXC";"7";2013;"P";91,485;8,515;6,5;33,35;28,18;1,181;8,54784937421435;7,38
"LV2";"EXC";"7";2013;"P";91,476;8,524;5,79;33;28,68;1,069;6,39512003148367;6,69
"LV2";"EXC";"9";2013;"P";91,461;8,539;6,77;33,77;27,23;0,971;5,61988169821017;6,06
"LV2";"BGR";"6";2013;"P";91,46;8,54;6,96;35,04;28,53;1,081;7,80669144981413;6,75
"LV2";"EXC";"6";2013;"P";91,442;8,558;6,86;38,22;28,29;1,134;7,26143347695807;7,06
"WD2";"BGR";"6";2013;"S";91,436;8,564;8,86;39,79;29,35;0,638;3,17161730609388;4
"WD1";"EXC";"7";2013;"S";91,428;8,572;8,63;34,48;26,36;0,712;4,03596272476703;4,44
"WD2";"EXC";"9";2013;"P";91,419;8,581;7,16;37,33;28,07;0,766;5,14116321552413;4,81
"GB2";"EXC";"7";2013;"F";91,38;8,62;10,7;28,23;24,97;1,701;9,18144014007441;10,63
"LV2";"BGR";"8";2013;"S";91,38;8,62;10,06;33,11;26,05;0,898;4,61807835412563;5,63
"GB2";"BGR";"6";2011;"S";91,379;8,621;10,05;33,35;26,56;1,216;7,04757110495847;7,63
"WD1";"EXC";"9";2013;"P";91,359;8,641;7,07;34,82;29,02;0,842;6,52371413872744;5,25
"LV2";"EXC";"6";2013;"S";91,348;8,652;8,38;37,17;27,97;0,663;3,61255856723738;4,13
"WD2";"EXC";"9";2011;"S";91,331;8,669;NA;NA;NA;0,972;NA;6,06
"GB2";"BGR";"7";2013;"P";91,322;8,678;7,22;30,66;28,85;1,222;9,05586824642474;7,63
